code,note,prj4,prj_method
2046,Hartebeesthoek94 / Lo15,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=15 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2047,Hartebeesthoek94 / Lo17,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=17 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2048,Hartebeesthoek94 / Lo19,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=19 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2049,Hartebeesthoek94 / Lo21,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=21 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
20499,Ain el Abd / Bahrain Grid,+proj=utm +zone=39 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2050,Hartebeesthoek94 / Lo23,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=23 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2051,Hartebeesthoek94 / Lo25,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=25 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2052,Hartebeesthoek94 / Lo27,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=27 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2053,Hartebeesthoek94 / Lo29,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=29 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
20538,Afgooye / UTM zone 38N,+proj=utm +zone=38 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
20539,Afgooye / UTM zone 39N,+proj=utm +zone=39 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2054,Hartebeesthoek94 / Lo31,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=31 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2055,Hartebeesthoek94 / Lo33,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=33 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator (South Orientated)
2056,CH1903+ / LV95,+proj=somerc +lat_0=46.9524055555556 +lon_0=7.43958333333333 +k_0=1 +x_0=2600000 +y_0=1200000 +ellps=bessel +units=m +no_defs +type=crs,Hotine Oblique Mercator (variant B)
2057,Rassadiran / Nakhl e Taqi,+proj=omerc +lat_0=27.5188288055556 +lonc=52.6035391666667 +alpha=0.571661194444444 +gamma=0.571661194444444 +k=0.999895934 +x_0=658377.437 +y_0=3044969.194 +ellps=intl +units=m +no_defs +type=crs,Hotine Oblique Mercator (variant B)
2058,ED50(ED77) / UTM zone 38N,+proj=utm +zone=38 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2059,ED50(ED77) / UTM zone 39N,+proj=utm +zone=39 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2060,ED50(ED77) / UTM zone 40N,+proj=utm +zone=40 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2061,ED50(ED77) / UTM zone 41N,+proj=utm +zone=41 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2062,Madrid 1870 (Madrid) / Spain LCC,+proj=lcc +lat_1=40 +lat_0=40 +lon_0=0 +k_0=0.9988085293 +x_0=600000 +y_0=600000 +a=6378298.3 +rf=294.73 +pm=-3.687375 +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2063,Dabola 1981 / UTM zone 28N,+proj=utm +zone=28 +ellps=clrk80ign +units=m +no_defs +type=crs,Transverse Mercator
2064,Dabola 1981 / UTM zone 29N,+proj=utm +zone=29 +ellps=clrk80ign +units=m +no_defs +type=crs,Transverse Mercator
2065,S-JTSK (Ferro) / Krovak,+proj=krovak +axis=swu +lat_0=49.5 +lon_0=42.5 +alpha=30.2881397527778 +k=0.9999 +x_0=0 +y_0=0 +ellps=bessel +pm=ferro +units=m +no_defs +type=crs,Krovak
2066,Mount Dillon / Tobago Grid,+proj=cass +lat_0=11.2521786111111 +lon_0=-60.6860088888889 +x_0=37718.66159325 +y_0=36209.91512952 +a=6378293.64520876 +b=6356617.98767984 +to_meter=0.201166195164 +no_defs +type=crs,Cassini-Soldner
2067,Naparima 1955 / UTM zone 20N,+proj=utm +zone=20 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2068,ELD79 / Libya zone 5,+proj=tmerc +lat_0=0 +lon_0=9 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2069,ELD79 / Libya zone 6,+proj=tmerc +lat_0=0 +lon_0=11 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2070,ELD79 / Libya zone 7,+proj=tmerc +lat_0=0 +lon_0=13 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2071,ELD79 / Libya zone 8,+proj=tmerc +lat_0=0 +lon_0=15 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2072,ELD79 / Libya zone 9,+proj=tmerc +lat_0=0 +lon_0=17 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2073,ELD79 / Libya zone 10,+proj=tmerc +lat_0=0 +lon_0=19 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2074,ELD79 / Libya zone 11,+proj=tmerc +lat_0=0 +lon_0=21 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2075,ELD79 / Libya zone 12,+proj=tmerc +lat_0=0 +lon_0=23 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2076,ELD79 / Libya zone 13,+proj=tmerc +lat_0=0 +lon_0=25 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2077,ELD79 / UTM zone 32N,+proj=utm +zone=32 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2078,ELD79 / UTM zone 33N,+proj=utm +zone=33 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2079,ELD79 / UTM zone 34N,+proj=utm +zone=34 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
20790,Lisbon (Lisbon) / Portuguese National Grid,+proj=tmerc +lat_0=39.6666666666667 +lon_0=1 +k=1 +x_0=200000 +y_0=300000 +ellps=intl +pm=lisbon +units=m +no_defs +type=crs,Transverse Mercator
20791,Lisbon (Lisbon) / Portuguese Grid,+proj=tmerc +lat_0=39.6666666666667 +lon_0=1 +k=1 +x_0=0 +y_0=0 +ellps=intl +pm=lisbon +units=m +no_defs +type=crs,Transverse Mercator
2080,ELD79 / UTM zone 35N,+proj=utm +zone=35 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2081,Chos Malal 1914 / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2082,Pampa del Castillo / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
20822,Aratu / UTM zone 22S,+proj=utm +zone=22 +south +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
20823,Aratu / UTM zone 23S,+proj=utm +zone=23 +south +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
20824,Aratu / UTM zone 24S,+proj=utm +zone=24 +south +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2083,Hito XVIII 1963 / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2084,Hito XVIII 1963 / UTM zone 19S,+proj=utm +zone=19 +south +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2085,"NAD27 / Cuba Norte",+proj=lcc +lat_1=22.35 +lat_0=22.35 +lon_0=-81 +k_0=0.99993602 +x_0=500000 +y_0=280296.016 +datum=NAD27 +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2086,"NAD27 / Cuba Sur",+proj=lcc +lat_1=20.7166666666667 +lat_0=20.7166666666667 +lon_0=-76.8333333333333 +k_0=0.99994848 +x_0=500000 +y_0=229126.939 +datum=NAD27 +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2087,ELD79 / TM 12 NE,+proj=tmerc +lat_0=0 +lon_0=12 +k=0.9996 +x_0=500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2088,Carthage / TM 11 NE,+proj=tmerc +lat_0=0 +lon_0=11 +k=0.9996 +x_0=500000 +y_0=0 +ellps=clrk80ign +units=m +no_defs +type=crs,Transverse Mercator
2089,Yemen NGN96 / UTM zone 38N,+proj=utm +zone=38 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator
2090,Yemen NGN96 / UTM zone 39N,+proj=utm +zone=39 +ellps=WGS84 +units=m +no_defs +type=crs,Transverse Mercator
2091,South Yemen / Gauss Kruger zone 8,+proj=tmerc +lat_0=0 +lon_0=45 +k=1 +x_0=8500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2092,South Yemen / Gauss Kruger zone 9,+proj=tmerc +lat_0=0 +lon_0=51 +k=1 +x_0=9500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2093,Hanoi 1972 / GK 106 NE,+proj=tmerc +lat_0=0 +lon_0=106 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
20934,Arc 1950 / UTM zone 34S,+proj=utm +zone=34 +south +a=6378249.145 +rf=293.4663077 +units=m +no_defs +type=crs,Transverse Mercator
20935,Arc 1950 / UTM zone 35S,+proj=utm +zone=35 +south +a=6378249.145 +rf=293.4663077 +units=m +no_defs +type=crs,Transverse Mercator
20936,Arc 1950 / UTM zone 36S,+proj=utm +zone=36 +south +a=6378249.145 +rf=293.4663077 +units=m +no_defs +type=crs,Transverse Mercator
2094,WGS 72BE / TM 106 NE,+proj=tmerc +lat_0=0 +lon_0=106 +k=0.9996 +x_0=500000 +y_0=0 +ellps=WGS72 +units=m +no_defs +type=crs,Transverse Mercator
2095,Bissau / UTM zone 28N,+proj=utm +zone=28 +ellps=intl +units=m +no_defs +type=crs,Transverse Mercator
2096,Korean 1985 / East Belt,+proj=tmerc +lat_0=38 +lon_0=129 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
2097,Korean 1985 / Central Belt,+proj=tmerc +lat_0=38 +lon_0=127 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
2098,Korean 1985 / West Belt,+proj=tmerc +lat_0=38 +lon_0=125 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
2099,Qatar 1948 / Qatar Grid,+proj=cass +lat_0=25.3823611111111 +lon_0=50.7613888888889 +x_0=100000 +y_0=100000 +ellps=helmert +units=m +no_defs +type=crs,Cassini-Soldner
2100,GGRS87 / Greek Grid,+proj=tmerc +lat_0=0 +lon_0=24 +k=0.9996 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2101,Lake / Maracaibo Grid M1,+proj=lcc +lat_1=10.1666666666667 +lat_0=10.1666666666667 +lon_0=-71.6056177777778 +k_0=1 +x_0=0 +y_0=-52684.972 +ellps=intl +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2102,Lake / Maracaibo Grid,+proj=lcc +lat_1=10.1666666666667 +lat_0=10.1666666666667 +lon_0=-71.6056177777778 +k_0=1 +x_0=200000 +y_0=147315.028 +ellps=intl +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2103,Lake / Maracaibo Grid M3,+proj=lcc +lat_1=10.1666666666667 +lat_0=10.1666666666667 +lon_0=-71.6056177777778 +k_0=1 +x_0=500000 +y_0=447315.028 +ellps=intl +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
21035,Arc 1960 / UTM zone 35S,+proj=utm +zone=35 +south +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
21036,Arc 1960 / UTM zone 36S,+proj=utm +zone=36 +south +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
21037,Arc 1960 / UTM zone 37S,+proj=utm +zone=37 +south +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
2104,Lake / Maracaibo La Rosa Grid,+proj=lcc +lat_1=10.1666666666667 +lat_0=10.1666666666667 +lon_0=-71.6056177777778 +k_0=1 +x_0=-17044 +y_0=-23139.97 +ellps=intl +units=m +no_defs +type=crs,Lambert Conic Conformal (1SP)
2105,NZGD2000 / Mount Eden 2000,+proj=tmerc +lat_0=-36.8797222222222 +lon_0=174.764166666667 +k=0.9999 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2106,NZGD2000 / Bay of Plenty 2000,+proj=tmerc +lat_0=-37.7611111111111 +lon_0=176.466111111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2107,NZGD2000 / Poverty Bay 2000,+proj=tmerc +lat_0=-38.6244444444444 +lon_0=177.885555555556 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2108,NZGD2000 / Hawkes Bay 2000,+proj=tmerc +lat_0=-39.6508333333333 +lon_0=176.673611111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2109,NZGD2000 / Taranaki 2000,+proj=tmerc +lat_0=-39.1355555555556 +lon_0=174.227777777778 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21095,Arc 1960 / UTM zone 35N,+proj=utm +zone=35 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
21096,Arc 1960 / UTM zone 36N,+proj=utm +zone=36 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
21097,Arc 1960 / UTM zone 37N,+proj=utm +zone=37 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
2110,NZGD2000 / Tuhirangi 2000,+proj=tmerc +lat_0=-39.5122222222222 +lon_0=175.64 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21100,Batavia (Jakarta) / NEIEZ,+proj=merc +lon_0=110 +k=0.997 +x_0=3900000 +y_0=900000 +ellps=bessel +pm=jakarta +units=m +no_defs +type=crs,Mercator (variant A)
2111,NZGD2000 / Wanganui 2000,+proj=tmerc +lat_0=-40.2419444444444 +lon_0=175.488055555556 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2112,NZGD2000 / Wairarapa 2000,+proj=tmerc +lat_0=-40.9252777777778 +lon_0=175.647222222222 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2113,NZGD2000 / Wellington 2000,+proj=tmerc +lat_0=-41.3011111111111 +lon_0=174.776388888889 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2114,NZGD2000 / Collingwood 2000,+proj=tmerc +lat_0=-40.7147222222222 +lon_0=172.671944444444 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21148,Batavia / UTM zone 48S,+proj=utm +zone=48 +south +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
21149,Batavia / UTM zone 49S,+proj=utm +zone=49 +south +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
2115,NZGD2000 / Nelson 2000,+proj=tmerc +lat_0=-41.2744444444444 +lon_0=173.299166666667 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21150,Batavia / UTM zone 50S,+proj=utm +zone=50 +south +ellps=bessel +units=m +no_defs +type=crs,Transverse Mercator
2116,NZGD2000 / Karamea 2000,+proj=tmerc +lat_0=-41.2897222222222 +lon_0=172.108888888889 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2117,NZGD2000 / Buller 2000,+proj=tmerc +lat_0=-41.8105555555556 +lon_0=171.581111111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2118,NZGD2000 / Grey 2000,+proj=tmerc +lat_0=-42.3336111111111 +lon_0=171.549722222222 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2119,NZGD2000 / Amuri 2000,+proj=tmerc +lat_0=-42.6888888888889 +lon_0=173.01 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2120,NZGD2000 / Marlborough 2000,+proj=tmerc +lat_0=-41.5444444444444 +lon_0=173.801944444444 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2121,NZGD2000 / Hokitika 2000,+proj=tmerc +lat_0=-42.8861111111111 +lon_0=170.979722222222 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2122,NZGD2000 / Okarito 2000,+proj=tmerc +lat_0=-43.11 +lon_0=170.260833333333 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2123,NZGD2000 / Jacksons Bay 2000,+proj=tmerc +lat_0=-43.9777777777778 +lon_0=168.606111111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2124,NZGD2000 / Mount Pleasant 2000,+proj=tmerc +lat_0=-43.5905555555556 +lon_0=172.726944444444 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2125,NZGD2000 / Gawler 2000,+proj=tmerc +lat_0=-43.7486111111111 +lon_0=171.360555555556 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2126,NZGD2000 / Timaru 2000,+proj=tmerc +lat_0=-44.4019444444444 +lon_0=171.057222222222 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2127,NZGD2000 / Lindis Peak 2000,+proj=tmerc +lat_0=-44.735 +lon_0=169.4675 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2128,NZGD2000 / Mount Nicholas 2000,+proj=tmerc +lat_0=-45.1327777777778 +lon_0=168.398611111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2129,NZGD2000 / Mount York 2000,+proj=tmerc +lat_0=-45.5636111111111 +lon_0=167.738611111111 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21291,Barbados 1938 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
21292,Barbados 1938 / Barbados National Grid,+proj=tmerc +lat_0=13.1763888888889 +lon_0=-59.5597222222222 +k=0.9999986 +x_0=30000 +y_0=75000 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs,Transverse Mercator
2130,NZGD2000 / Observation Point 2000,+proj=tmerc +lat_0=-45.8161111111111 +lon_0=170.628333333333 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2131,NZGD2000 / North Taieri 2000,+proj=tmerc +lat_0=-45.8613888888889 +lon_0=170.2825 +k=0.99996 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2132,NZGD2000 / Bluff 2000,+proj=tmerc +lat_0=-46.6 +lon_0=168.342777777778 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2133,NZGD2000 / UTM zone 58S,+proj=utm +zone=58 +south +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2134,NZGD2000 / UTM zone 59S,+proj=utm +zone=59 +south +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2135,NZGD2000 / UTM zone 60S,+proj=utm +zone=60 +south +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2136,Accra / Ghana National Grid,+proj=tmerc +lat_0=4.66666666666667 +lon_0=-1 +k=0.99975 +x_0=274319.739163358 +y_0=0 +a=6378300 +rf=296 +to_meter=0.304799710181509 +no_defs +type=crs,Transverse Mercator
2137,Accra / TM 1 NW,+proj=tmerc +lat_0=0 +lon_0=-1 +k=0.9996 +x_0=500000 +y_0=0 +a=6378300 +rf=296 +units=m +no_defs +type=crs,Transverse Mercator
2138,"NAD27(CGQ77) / Quebec Lambert",+proj=lcc +lat_0=44 +lon_0=-68.5 +lat_1=60 +lat_2=46 +x_0=0 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs,Lambert Conic Conformal (2SP)
2139,"NAD83(CSRS98) / SCoPQ zone 2",+proj=tmerc +lat_0=0 +lon_0=-55.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2140,"NAD83(CSRS98) / MTM zone 3",+proj=tmerc +lat_0=0 +lon_0=-58.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2141,"NAD83(CSRS98) / MTM zone 4",+proj=tmerc +lat_0=0 +lon_0=-61.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21413,Beijing 1954 / Gauss-Kruger zone 13,+proj=tmerc +lat_0=0 +lon_0=75 +k=1 +x_0=13500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21414,Beijing 1954 / Gauss-Kruger zone 14,+proj=tmerc +lat_0=0 +lon_0=81 +k=1 +x_0=14500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21415,Beijing 1954 / Gauss-Kruger zone 15,+proj=tmerc +lat_0=0 +lon_0=87 +k=1 +x_0=15500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21416,Beijing 1954 / Gauss-Kruger zone 16,+proj=tmerc +lat_0=0 +lon_0=93 +k=1 +x_0=16500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21417,Beijing 1954 / Gauss-Kruger zone 17,+proj=tmerc +lat_0=0 +lon_0=99 +k=1 +x_0=17500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21418,Beijing 1954 / Gauss-Kruger zone 18,+proj=tmerc +lat_0=0 +lon_0=105 +k=1 +x_0=18500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21419,Beijing 1954 / Gauss-Kruger zone 19,+proj=tmerc +lat_0=0 +lon_0=111 +k=1 +x_0=19500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2142,"NAD83(CSRS98) / MTM zone 5",+proj=tmerc +lat_0=0 +lon_0=-64.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21420,Beijing 1954 / Gauss-Kruger zone 20,+proj=tmerc +lat_0=0 +lon_0=117 +k=1 +x_0=20500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21421,Beijing 1954 / Gauss-Kruger zone 21,+proj=tmerc +lat_0=0 +lon_0=123 +k=1 +x_0=21500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21422,Beijing 1954 / Gauss-Kruger zone 22,+proj=tmerc +lat_0=0 +lon_0=129 +k=1 +x_0=22500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21423,Beijing 1954 / Gauss-Kruger zone 23,+proj=tmerc +lat_0=0 +lon_0=135 +k=1 +x_0=23500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2143,"NAD83(CSRS98) / MTM zone 6",+proj=tmerc +lat_0=0 +lon_0=-67.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2144,"NAD83(CSRS98) / MTM zone 7",+proj=tmerc +lat_0=0 +lon_0=-70.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
2145,"NAD83(CSRS98) / MTM zone 8",+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
21453,Beijing 1954 / Gauss-Kruger CM 75E,+proj=tmerc +lat_0=0 +lon_0=75 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21454,Beijing 1954 / Gauss-Kruger CM 81E,+proj=tmerc +lat_0=0 +lon_0=81 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21455,Beijing 1954 / Gauss-Kruger CM 87E,+proj=tmerc +lat_0=0 +lon_0=87 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21456,Beijing 1954 / Gauss-Kruger CM 93E,+proj=tmerc +lat_0=0 +lon_0=93 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21457,Beijing 1954 / Gauss-Kruger CM 99E,+proj=tmerc +lat_0=0 +lon_0=99 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21458,Beijing 1954 / Gauss-Kruger CM 105E,+proj=tmerc +lat_0=0 +lon_0=105 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
21459,Beijing 1954 / Gauss-Kruger CM 111E,+proj=tmerc +lat_0=0 +lon_0=111 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs,Transverse Mercator
2146,"NAD83(CSRS98) / MTM zone 9",+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs,Transverse Mercator
